,Ship type,Reporting Period,Time at sea per ship [hours]
0,Bulk carrier,2018,1818.3549280782497
1,Bulk carrier,2019,1746.266494785624
2,Bulk carrier,2020,1541.9900529100532
3,Bulk carrier,2021,1392.559680429862
4,Bulk carrier,2022,1463.2002167338662
15,Container ship,2018,3380.5088550057612
16,Container ship,2019,3408.9954600550996
17,Container ship,2020,2908.8414348302344
18,Container ship,2021,2768.6465631929073
19,Container ship,2022,2755.3602449646232
35,LNG carrier,2018,2422.214688995217
36,LNG carrier,2019,2661.6889494163433
37,LNG carrier,2020,2617.2059205776186
38,LNG carrier,2021,2112.3838590604028
39,LNG carrier,2022,2827.738714652955
40,Oil tanker,2018,2795.0800055096415
41,Oil tanker,2019,2791.0054230377127
42,Oil tanker,2020,2269.925979166664
43,Oil tanker,2021,2187.905680827885
44,Oil tanker,2022,2045.349056508581
50,Passenger ship,2018,4157.321161290322
51,Passenger ship,2019,3363.569162011174
52,Passenger ship,2020,1034.536095238095
53,Passenger ship,2021,2128.164594594594
54,Passenger ship,2022,3530.0073655913966
